,Date,Grup,Tweet,Paraula,Retweets,Likes
0,2022-12-13 10:26:23+00:00,Diaris,🔎 Científics aconsegueixen per primera vegada produir una reacció de fusió capaç de generar una producció neta d'energia    https://t.co/752v4vFCNR,Producció neta,4,8
1,2022-12-13 04:42:13+00:00,Diaris,🔎 Científics aconsegueixen per primera vegada produir una reacció de fusió capaç de generar una producció neta d'energia   https://t.co/wKGmYOZBGF,Producció neta,15,21
2,2022-12-12 21:59:47+00:00,Diaris,🔎 Científics aconsegueixen per primera vegada produir una reacció de fusió capaç de generar una producció neta d'energia  https://t.co/LpeqVkQQZQ,Producció neta,0,1
3,2022-12-22 20:49:44+00:00,Diaris,La meitat dels espanyols creu que la tecnologia de zero emissions és el camí més ràpid per aconseguir una aviació verda. https://t.co/Ok0r3mmN2q,Zero emissions,0,0
4,2022-11-17 19:07:48+00:00,Diaris,"🔌 Espanya se suma a la coalició 'Accelerating to Zero', destinada a promoure la compra de vehicles de zero emissions https://t.co/zaByEz2H4x",Zero emissions,0,0
5,2022-11-17 13:57:34+00:00,Diaris,"🔌 Espanya se suma a la coalició 'Accelerating to Zero', destinada a promoure la compra de vehicles de zero emissions https://t.co/RmKUflY8FO",Zero emissions,1,1
6,2022-11-17 10:03:59+00:00,Diaris,"🔌 Espanya se suma a la coalició 'Accelerating to Zero', destinada a promoure la compra de vehicles de zero emissions https://t.co/XOxQTSbRul",Zero emissions,0,2
7,2022-11-17 06:32:32+00:00,Diaris,"Espanya se suma a la coalició 'Accelerating to Zero', destinada a promoure la compra de vehicles de zero emissions https://t.co/VgWIeUzKLo",Zero emissions,0,2
8,2022-10-28 10:30:01+00:00,Diaris,"La indústria europea d'automòbils insta els responsables europeus a accelerar el desplegament de les condicions necessàries per fer possible la mobilitat de zero emissions el 2035: ""No hi ha temps per perdre"", ha dit el director general de BMW
https://t.co/BIeif6JpWa",Zero emissions,1,2
9,2022-09-09 03:30:30+00:00,Diaris,"L'empresa especialitzada en mobles, reformes i cuines, Decormobel de Payrà, fa un pas endavant en la seva estratègia d'emissions de residus zero https://t.co/p6E6ZAd11X",Zero emissions,0,0
10,2022-09-08 21:57:34+00:00,Diaris,Zero emissions el 2050 al Regne Unit gràcies al parc eòlic marí més gran del món https://t.co/l1Fqps31O9,Zero emissions,3,4
11,2022-09-04 18:30:00+00:00,Diaris,"La guerra a Ucraïna té conseqüències importants per al medi ambient. Entre altres coses, ha portat a cremar més carbó, per compensar la crisi energètica, i ha frenat la transició a emissions zero https://t.co/WZhTgrFoxf",Zero emissions,2,5
12,2022-04-02 19:29:47+00:00,Diaris,"🚗 La màgia del Golf GTE és que sense ser tan esportiu com el llegendari GTI, les seves prestacions són prou semblants

👉 A més, sí que es pot beneficiar dels privilegis i ajudes dels vehicles amb etiqueta de zero emissions

✍️ A l'@AraMotor l'analitzen https://t.co/YkcHxQBYn0",Zero emissions,0,1
13,2022-03-16 18:23:56+00:00,Diaris,"🚗 Ford anuncia set nous models elèctrics 

La marca incrementarà la presència de vehicles de zero emissions al mercat europeu

✍️ Per Ferran Vital
https://t.co/6LZqSALuKK",Zero emissions,0,1
14,2022-03-11 19:01:05+00:00,Diaris,"‼️ L’increment del preu de la gasolina i la consegüent inestabilitat que genera han fet créixer de manera consistent les vendes dels cotxes elèctrics

Més gent s’ha plantejat la compra d’un vehicle de zero emissions com una solució racional 👇
https://t.co/n1nofk0Prc",Zero emissions,1,2
15,2022-01-02 10:54:25+00:00,Diaris,"Dinamarca vol que tots els vols interns siguin zero emissions el 2030 

🔗 Segueix tota l’actualitat amb l’Última Hora del @diariara 👇
https://t.co/ErEvbL62c6",Zero emissions,2,6
16,2021-11-10 14:32:46+00:00,Diaris,"📌 Catalunya i Barcelona també han signat l'acord perquè tots els vehicles siguin d'emissions zero
https://t.co/ajAeWql9oI",Zero emissions,1,2
17,2021-11-06 10:45:00+00:00,Diaris,"🗣️ “Si tenim en compte que hi ha una necessitat imperiosa, que és real, de reduir les emissions de CO₂ a zero abans del 2050, tan sols hi ha una sortida: l’energia haurà de pujar de preu”

Entrevista a l'enginyer de telecomunicacions @mcoderch 
https://t.co/y7eiwARDt9",Zero emissions,2,7
18,2021-11-04 18:50:08+00:00,Diaris,"La #COP26,  ecoimpostures i #greenwashing, segons Linda Schnider i Maureen Santos 👇  

🗣️ ""Zero emissions netes no és zero emissions""

🔗 https://t.co/7wyVn1yjFx",Zero emissions,0,1
19,2021-11-01 12:50:00+00:00,Diaris,"Molts experts creuen que la COP26 no assolirà el seu objectiu i que el món no estarà en un bon curs per assolir les emissions netes zero el 2050 i l’objectiu de mantenir l’escalfament per sota d’1,5 °C.
https://t.co/HCBIONbtX8",Zero emissions,4,2
20,2021-11-01 09:46:00+00:00,Diaris,La dècada dels anys 20 és decisiva per aconseguir una reducció de les emissions que porti a assolir el compromís de zero emissions el 2050 https://t.co/eRbpJG7QPu #CimeraClimaTV3,Zero emissions,0,7
21,2021-10-21 10:33:33+00:00,Diaris,"🚗  Xiaomi ha anunciat que posarà a la venda un primer vehicle de zero emissions de cara a l’any 2024

👉 Encara no sabem si serà un SUV o una berlina, però ja han informat que serà un vehicle assequible https://t.co/0OK5Ixgxv0",Zero emissions,6,7
22,2021-09-06 21:01:14+00:00,Diaris,"🚗 Virante, el primer cotxe d’hidrogen català

Els cotxes de pila de combustible impulsats per hidrogen o FCEV (Full Cell Electric Vehicle) només emeten vapor d’aigua pel tub d’escapament, cosa que els fa ser considerats vehicles de zero emissions👇
 https://t.co/9VvV7RBUDo",Zero emissions,5,20
23,2021-08-29 11:05:00+00:00,Diaris,"L’ONU promou les zero emissions per al 2050, i la Unió Europea i els Estats Units s’hi ha compromès. Això implicaria aturar la crema de carbó, de petroli i de gas, i també la desforestació
https://t.co/OBAKUoezEF",Zero emissions,7,21
24,2021-08-22 13:50:25+00:00,Diaris,"🚘 Provem la versió híbrida endollable del Tarraco

És el SUV més gran de Seat amb etiqueta de zero emissions i autonomia de 48 quilòmetres en mode elèctric 👇  https://t.co/l4UfpPq6vX",Zero emissions,0,2
25,2021-08-16 16:19:34+00:00,Diaris,"'Com reduir les emissions netes a zero', l'article de @HMountford4 https://t.co/g9lYWKW2PY",Zero emissions,3,1
26,2021-08-10 17:30:20+00:00,Diaris,La catalana Cupra ha passat d’un 0% de vendes de cotxes electrificats i baixes emissions (etiqueta zero) a un 58% del total de cotxes venuts i ha protagonitzat així el salt més espectacular del mercat europeu. Una informació de @ferranvital https://t.co/wx8DLIPvk2,Zero emissions,2,11
27,2021-07-28 14:00:03+00:00,Diaris,"La marca alemanya prepara el seu salt definitiu a l’electrificació i convertirà la seva icona de luxe en un vehicle elèctric de zero emissions

🔗  Tots els detalls aquí 
https://t.co/04eHu3yeId",Zero emissions,0,1
28,2021-07-13 09:01:21+00:00,Diaris,Volvo prepara un totcamí de zero emissions basat en la nova plataforma modular SEA que estrenarà el grup Geely https://t.co/ncy2agyOLb,Zero emissions,1,1
29,2021-07-01 08:49:48+00:00,Diaris,Volvo presenta el prototip d'aquest model amb zero emissions https://t.co/7xlfCNZsHM,Zero emissions,0,1
30,2021-07-01 06:52:39+00:00,Diaris,"Filtrades les primeres imatges oficials del Renault 4L elèctric, el model de zero emissions assequible de la marca francesa https://t.co/1saNADGKAU",Zero emissions,1,2
31,2021-06-14 11:31:35+00:00,Diaris,"Durant els primers cinc mesos de l’any, Ford ha fabricat més Mustang Mach-e de zero emissions que no pas Mustang amb motor de gasolina https://t.co/zYtE8lDo0T",Zero emissions,0,1
32,2021-05-11 10:39:26+00:00,Diaris,"Mercedes-Benz Concept EQT, un furgoneta elèctrica de tall familiar. La marca de l’estrella presenta el seu prototip de zero emissions https://t.co/TsIwF4qqkJ",Zero emissions,0,1
33,2021-04-22 06:23:02+00:00,Diaris,"El fabricant de cotxes elèctrics català vol revolucionar el món dels esportius elèctrics d’altes prestacions de la mà de Millor Battery, una altra ‘start-up’ catalana especialitzada en els vehicles de zero emissions https://t.co/rk7tDdbu6D",Zero emissions,8,15
34,2021-01-29 12:30:23+00:00,Diaris,"La marca californiana presenta la darrera evolució del Model S, un prodigi tecnològic de zero emissions capaç de plantar cara a esportius que costen cinc o deu vegades més https://t.co/u8dCEsyNX4",Zero emissions,0,4
35,2021-01-23 18:31:00+00:00,Diaris,Els carrossers artesans d'Ares Design modifiquen un Tesla Model S i el converteixen en un model de zero emissions a cel obert https://t.co/6e1BW2Wrci,Zero emissions,2,12
36,2021-01-22 02:07:52+00:00,Diaris,El retorn dels EUA a l'Acord de París torna a posar el món camí de les zero emissions el 2050 https://t.co/SbG6cBZCb1,Zero emissions,4,13
37,2021-01-21 19:54:29+00:00,Diaris,El retorn dels EUA a l'Acord de París torna a posar el món camí de les zero emissions el 2050 https://t.co/LXueqxVm1f,Zero emissions,1,8
38,2020-12-10 21:20:18+00:00,Diaris,Aptera Motors presenta el seu model solar de zero emissions amb una estètica futurista https://t.co/TpuJ3wjiDy,Zero emissions,3,18
39,2020-12-09 23:26:10+00:00,Diaris,La Comissió Europea vol que l'any 2030 hi hagi 30 milions de cotxes de zero emissions a les carreteres europees https://t.co/M9r2ffBVyY,Zero emissions,0,5
40,2020-12-09 20:12:02+00:00,Diaris,30 milions de cotxes zero emissions a Europa el 2030 https://t.co/kuhMRQKJp1,Zero emissions,0,3
41,2020-12-07 17:32:18+00:00,Diaris,La marca britànica ha confirmat que tindrà una versió John Cooper Works en format elèctric i de zero emissions l’any vinent https://t.co/px0fqMjZ1A,Zero emissions,0,5
